ID	FK_Plant_ID	Unique_Plant_Id	PlantName	OptOutPlant	CapacityOptedOutMW	HoursOperated	PlantIncludedInNERP
294	294	AT0081	Stadtwerke Klagenfurt, Klagenfurt Stadt, Fernheizkraftwerk	No			No
295	295	AT0082	Steirische Gas-Wärme GmbH, Fernheizkraftwerk Graz, Kessel 1-3	No			No
296	296	AT0084	VERBUND-Austrian Thermal Power GmbH &amp; Co KG, Verbund ATP KW Dürnrohr, WDR 1+2 Hauptkessel	No			No
297	297	AT0086	WIENSTROM GmbH, WIENSTROM GUD Leopoldau Wien, KW Leopoldau GUD	No			No
298	298	AT0087	voestalpine Stahl GmbH, voestalpine Stahl GmbH, Blockkessel 03	No			No
299	299	AT0088	voestalpine Stahl GmbH, voestalpine Stahl GmbH, Blockkessel 04	No			No
300	300	AT0089	voestalpine Stahl GmbH, voestalpine Stahl GmbH, Blockkessel 05	No			No
301	301	AT0090	voestalpine Stahl GmbH, voestalpine Stahl GmbH, Blockkessel 06	No			No
302	302	AT0091	voestalpine Stahl GmbH, voestalpine Stahl GmbH, Gas- und Dampfturbine	No			No
303	303	AT0092	voestalpine Stahl GmbH, voestalpine Stahl GmbH, Gebläsezentrale 2 - Kessel 1	No			No
304	304	AT0093	voestalpine Stahl GmbH, voestalpine Stahl GmbH, Gebläsezentrale 2 - Kessel 2	No			No
305	305	AT0099	Cogeneration Kraftwerke Management OÖ GmbH, SCA-Laakirchen, SCA-Laakirchen	No			No
306	306	AT0201	Fernwärme Wien GesmbH, Spittelau, Dreizugkessel 1/2/3	No			No
307	307	AT0204	AGRANA Zucker GmbH, AGRANA Zucker GmbH, Werk Leopoldsdorf, Kampagnekesselanlage	No			No
308	308	AT0206	OMV Refining and Marketing GmbH, Raffinerie Schwechat, RS14 Kraftwerk 1	No			No
309	309	AT0207	OMV Refining and Marketing GmbH, Raffinerie Schwechat, RS15 Kraftwerk 2 und Ostanlagen	No			No
310	310	AT0209	AGRANA Zucker GmbH, AGRANA Zucker GmbH, Werk Tulln, Kessel 4, Kessel 5, Kessel 6	No			No
311	311	AT0210	voestalpine Stahl GmbH, voestalpine Stahl GmbH, Sammelschiene - Kessel 2	No			No
312	312	AT0211	voestalpine Stahl GmbH, voestalpine Stahl GmbH, Sammelschiene - Kessel 3	No			No
313	313	AT0214	Lenzing AG, Energie-,Faser-,Zellstoff-u.Papierprod., Laugekessel 2K6 + 2K7	No			No
314	314	AT0216	Energie AG Oberösterreich Kraftwerke GmbH, Standort Riedersbach, KW Riedersbach 1	No			No
315	315	AT0217	Fernwärme Wien GesmbH, Arsenal, Heißwasserkessel 1/2+3	No			No
316	316	AT0218	WIENSTROM GmbH, WIENSTROM KW Donaustadt Wien, Block 1+2	No			No
317	317	AT0220	M-real Hallein AG, M-real Hallein AG, Kessel 4	No			No
318	318	AT0221	Tiroler Landeskrankenanstalten GmbH, Fernheizwerk Innrain Innsbruck, Fernheizwerk Innrain Kesselanlage	No			No
319	319	AT0222	Sandoz GmbH, Sandoz Werk Kundl, Dampfkessel 1-6	No			No
320	320	AT0223	VERBUND-Austrian Thermal Power GmbH &amp; Co KG, Verbund ATP FHKW Neudorf-Werndorf, Verbund FHKW Neudorf-Werndorf	No			No
321	321	AT0223	VERBUND-Austrian Thermal Power GmbH &amp; Co KG, Verbund ATP FHKW Neudorf-Werndorf, Verbund FHKW Neudorf-Werndorf	No			No
322	322	AT0224	VERBUND-Austrian Thermal Power GmbH &amp; Co KG, Verbund ATP DKW Voitsberg, Verbund DKW Voitsberg	No			No
323	323	AT0231	Cogeneration-Kraftwerke Management Steiermark, CMST THONDORF, Gasturbine+AHK	No			No
324	324	AT0241	OMV Gas GmbH, Verdichterstation Baumgarten, Compressor 1	No			No
325	325	AT0242	Salzburg AG f. Energie Verkehr und Telekommunikation, HKW Mitte, HKW Mitte Gasturbine und Abhitzekessel	No			No
326	326	AT0243	Sappi Austria Produktions-GmbH &amp; Co. KG, Sappi Austria Produktions-GmbH &amp; Co.KG, Kessel 11	No			No
327	327	AT0245	WIENSTROM GmbH, WIENSTROM KW Simmering Wien, Kraftwerk Simmering Blockkraftwerk 1/2 (Bestand)	No			No
328	328	AT0248	AGRANA Zucker GmbH, AGRANA Zucker GmbH, Werk Tulln, Kessel 6	No			No
329	329	AT0249	Energie AG Oberösterreich Kraftwerke GmbH, Standort Timelkam, KW Timelkam 3	No			No
330	330	AT0252	Lenzing AG, Energie-,Faser-,Zellstoff-u.Papierprod., Laugekessel 2K10	No			No
331	331	AT0254	M-real Hallein AG, M-real Hallein AG, TABA Kessel K5	No			No
332	332	AT0002	EVN AG, EVN AG Kraftwerk Korneuburg, KWK Block B	No			No
333	333	AT0003	Fernwärme Wien GesmbH, Spittelau, Heißwasserkessel 1/2	No			No
334	334	AT0004	OMV Gas GmbH, Verdichterstation Baumgarten, Compressor 2	No			No
335	335	AT0005	OMV Gas GmbH, Verdichterstation Baumgarten, Compressor 500	No			No
336	336	AT0006	OMV Gas GmbH, Verdichterstation Baumgarten, Compressor 600	No			No
337	337	AT0007	OMV Gas GmbH, Verdichterstation Baumgarten, Compressor 700	No			No
338	338	AT0008	OMV Gas GmbH, Verdichterstation Grafendorf, Compressor 400	No			No
339	339	AT0009	OMV Gas GmbH, Verdichterstation Grafendorf, Compressor 500	No			No
340	340	AT0010	OMV Gas GmbH, Verdichterstation Grafendorf, Compressor 600	No			No
341	341	AT0014	Jungbunzlauer Austria AG, Werk Pernhofen, Kesselanlage 1	No			No
342	342	AT0015	Jungbunzlauer Austria AG, Werk Pernhofen, Kesselanlage 2	No			No
343	343	AT0016	Lenzing AG, Energie-,Faser-,Zellstoff-u.Papierprod., Gaskessel 1K6	No			No
344	344	AT0021	Linz Strom GmbH, FHKW Mitte, FHKW Mitte GuD1	No			No
345	345	AT0022	Linz Strom GmbH, FHKW Mitte, FHKW Mitte Kamin	No			No
346	346	AT0023	Linz Strom GmbH, FHKW Süd, FHKW Süd	No			No
347	347	AT0024	Mayr-Melnhof Karton Gesellschaft m.b.H., Mayr-Melnhof Karton Gesellschaft m.b.H., 60t/h- Kessel	No			No
348	348	AT0025	Nettingsdorfer Papierfabrik AG &amp; Co KG, Nettingsdorfer Papierfabrik, Gaskessel	No			No
349	349	AT0026	Nettingsdorfer Papierfabrik AG &amp; Co KG, Nettingsdorfer Papierfabrik, Sodakessel 3	No			No
350	350	AT0027	Norske Skog Bruck GmbH, Norske Skog Bruck GmbH, GuD / Kessel 7	No			No
351	351	AT0028	OMV Refining and Marketing GmbH, Raffinerie Schwechat, RS07 Platformer &amp; KEP	No			No
352	352	AT0029	OMV Refining and Marketing GmbH, Raffinerie Schwechat, RS10 Rohöldestillation 4	No			No
353	353	AT0030	OMV Refining and Marketing GmbH, Raffinerie Schwechat, RS11 Ethylenanlage	No			No
354	354	AT0031	OMV Refining and Marketing GmbH, Raffinerie Schwechat, RS13 FCC-Anlage	No			No
355	355	AT0033	OMV Refining and Marketing GmbH, Raffinerie Schwechat, RS16 Wasserstoffanlage	No			No
356	356	AT0035	Salzburg AG f. Energie Verkehr und Telekommunikation, HKW Mitte, HKW Mitte Gasturbine und Abhitzekessel	No			No
357	357	AT0036	Salzburg AG f. Energie Verkehr und Telekommunikation, HKW Mitte, HKW Mitte Schwerölkessel	No			No
358	358	AT0037	Salzburg AG f. Energie Verkehr und Telekommunikation, HKW Nord, HKW Nord Block 1	No			No
359	359	AT0038	UPM Kymmene Austria GmbH, UPM Steyrermühl, GuD-Anlage Gasturbine mit Abhitzekessel	No			No
360	360	AT0039	UPM Kymmene Austria GmbH, UPM Steyrermühl, Kessel K7K8 Steamblockanlage	No			No
361	361	AT0040	VERBUND-Austrian Thermal Power GmbH &amp; Co KG, Verbund ATP FHKW Neudorf-Werndorf, Verbund FHKW Neudorf-Werndorf	No			No
362	362	AT0044	voestalpine Stahl Donawitz GmbH &amp; Co KG, voestalpine Stahl Donawitz GmbH &amp; Co KG, Gasturbine und Abhitzekessel (GuD-Anlage)	No			No
363	363	AT0045	Sappi Austria Produktions-GmbH &amp; Co. KG, Laugenkessel	No			No
364	364	AT0045	voestalpine Stahl Donawitz GmbH &amp; Co KG, voestalpine Stahl Donawitz GmbH &amp; Co KG, Kombikessel Heißdampferzeuger	No			No
365	365	AT0046	W.Hamburger GmbH, Kessel 3	No			No
366	366	AT0047	WIENSTROM GmbH, WIENSTROM KW Donaustadt Wien, Blockkraftwerk 3	No			No
367	367	AT0048	WIENSTROM GmbH, WIENSTROM KW Simmering Wien, Blockheizkraftwerk 3	No			No
368	368	AT0051	WIENSTROM GmbH, WIENSTROM KW Simmering Wien, Kraftwerk Simmering Blockkraftwerk 2	No			No
369	369	AT0052	WIENSTROM GmbH, WIENSTROM KW Simmering Wien, Kraftwerk Simmering Blockkraftwerk 2 - Gasturbine solo	No			No
